companyId,unitId,imei,esn,manufacturer,unitType,version,isRMA,liveAgeDays,HDOPQuality,ExcessiveEvents,LowBattery,IgnitionOnEventsAbnormal,PowerDisconnect,LowSatellites,DailyOdometerExceeded,WirelessSignal,MaintenanceLimitExceeded,LateEvents,CommLost,DailyEngineHoursExceeded
21872,200017103,357766099189024-032824124741,4674563602-032824124741,CalAmp,"32 - bit","2630 LTE",1,1120,0,0,1.3333333333333333,5.986976416214652,0,0,0,0,0,0,0,0
27230,200111210,016100000233114,6B30197V,VidFleet,VidFleet,4K,1,373,53.01329549153646,0,0,0,1,0,0,0,0,0,0,0
26027,200089446,866626031174639-032724183018,6B301VQN-032724183018,VidFleet,VidFleet,4K,1,642,53.27635486309345,0,0,0,0,0,0,0,0,0,0,0
26027,200089431,866626031288561-032724133849,6B301TAL-032724133849,VidFleet,VidFleet,4K,1,642,48.51197204589844,0,0,0,2.4615384615384617,0,0,0,0,0,0,0
26027,200089445,866626031288165-032724133853,6B301VQL-032724133853,VidFleet,VidFleet,4K,1,642,54.23868430288214,0,0,6.060606002807617,1.2,0,0,0,0,0,0,0
26027,200089432,866626031287803-032624172054,6B301VPG-032624172054,VidFleet,VidFleet,4K,1,641,48.8263483914462,0,0,0,1,0,0,0,0,0,0,0
28484,200131824,016100000501924-032624172046,6B301ESA-032624172046,VidFleet,VidFleet,4K,1,33,0,0,0,0,1,0,0,0,0,0,0,0
6258,200122599,866258044681085,96X110970001,Geometris,"80 Series","96-ATT Series",1,137,0,0,0,5.845100283622742,0,0,0,0,0,0,0,0
21418,200126294,866626030979301,2B2DB2GW,VidFleet,VidFleet,360,1,126,0,0,0,0,9.5,0,0,0,0,0,0,0
6641,200091383,016100000002600-032524160909,6B301K07-032524160909,VidFleet,VidFleet,4K,1,560,57.301230324639214,0,0,0,1,0,0,0,0,0,0,0
28568,200132442,357766093289580,4674489702,CalAmp,"32 - bit","2630 LTE",1,39,93.41882133483887,0,1,0,0,0,0,0,0,0,0,0
27670,200122498,016100000306357,6B301B3E,VidFleet,VidFleet,4K,1,184,42.12872187296549,2649.6666666666665,0,5.551788171132405,1.6666666666666667,0,0,0,0,0,0,0
21112,200046336,868199051911239,4675080256,CalAmp,"32 - bit","2630 LTE",1,545,74.65625,0,1.6,5.263157844543457,1,35.64514891306559,0,0,0,15.924014568328857,0,0
28549,200132254,016100000559294-040524154342,6B301GX8-040524154342,VidFleet,VidFleet,4K,1,32,26.379241943359375,0,0,0,0,0,0,0,0,0,0,0
22093,200025297,356052109092297,4674850474,CalAmp,"32 - bit","2630 LTE",1,1145,0,0,3.657142857142857,0,0,100,0,0,0,0,0,0
6374,200099652,865640068903589-032124181456,4675413468-032124181456,CalAmp,"32 - bit","LMU2630 CAT_M",1,465,0,0,1.5,0,0,0,0,0,0,0,0,0
6374,200099657,865640069004072-032124181443,4675413467-032124181443,CalAmp,"32 - bit","LMU2630 CAT_M",1,465,0,0,1.3333333333333333,0,0,0,0,0,0,0,0,0
6374,200099663,865640068806584-032124181459,4675413425-032124181459,CalAmp,"32 - bit","LMU2630 CAT_M",1,465,0,0,1,0,0,0,0,0,0,0,0,0
6374,200099649,865640068899464-032124181439,4675413461-032124181439,CalAmp,"32 - bit","LMU2630 CAT_M",1,465,0,0,1.5,5.2219319343566895,0,0,0,0,0,0,0,0
6374,200099638,865640068186003-032124181447,4675413411-032124181447,CalAmp,"32 - bit","LMU2630 CAT_M",1,465,0,0,1.2222222222222223,7.433149178822835,0,0,0,0,0,0,0,0
6374,200099664,865640068098752-032124181431,4675413422-032124181431,CalAmp,"32 - bit","LMU2630 CAT_M",1,465,0,0,3,5.665024757385254,0,0,0,0,0,0,0,0
6374,200099648,865640068757795-032124181419,4675413442-032124181419,CalAmp,"32 - bit","LMU2630 CAT_M",1,465,0,0,4.3125,5.15463924407959,11.8125,0,0,0,0,0,0,0
6374,200099644,865640068145108-032124181435,4675413463-032124181435,CalAmp,"32 - bit","LMU2630 CAT_M",1,465,0,0,1,0,0,0,0,0,0,0,0,0
6374,200099656,865640068903720-032124181423,4675413466-032124181423,CalAmp,"32 - bit","LMU2630 CAT_M",1,465,0,756,1,7.112363576889038,0,0,0,0,0,0,0,0
26861,200108324,016100000219105,6B3018JC,VidFleet,VidFleet,4K,1,365,58.933903503417966,0,0,6.896551609039307,1,0,0,0,0,23.373493194580078,0,0
27586,200116107,016100000279646,6B301AK3,VidFleet,VidFleet,4K,1,266,56.54660852943979,0,0,6.315789699554443,1.3333333333333333,0,0,0,0,0,0,0
1433,200052664,864919057640670,4675172904,CalAmp,"32 - bit","LMU2630 CAT_M",1,908,0,0,4,7.5358942576817105,8,0,0,0,0,40.254672050476074,0,0
28233,200127530,016100000502880-032024143929,6B301E77-032024143929,VidFleet,VidFleet,4K,1,117,197.532470703125,0,0,0,2,0,0,0,0,0,0,0
25304,200088138,-032024143925,6B2CMLHP-032024143925,VidFleet,VidFleet,4K,1,826,51.15247917175293,0,0,0,0,0,0,0,0,0,0,0
25304,200088143,-032024130253,6B2CMLDM-032024130253,VidFleet,VidFleet,4K,1,826,96.53642272949219,0,0,0,0,0,0,0,0,0,0,0
344,200092909,865640068180485-032124143049,4675382787-032124143049,CalAmp,"32 - bit","LMU2630 CAT_M",1,535,0,0,0,8.473879146575928,0,0,0,0,0,0,0,0
907,200051928,864919057593036-032124143053,4675172927-032124143053,CalAmp,"32 - bit","LMU2630 CAT_M",1,936,0,0,2.5,17.647058486938477,1,0,0,0,0,0,0,0
23209,200101511,865640064546283,4675340611,CalAmp,"32 - bit","LMU2630 CAT_M",1,253,0,0,2,0,0,0,0,0,0,0,0,0
4827,200039331,868923057330999-032124143045,4675052067-032124143045,CalAmp,"32 - bit","LMU2630 CAT_M",1,1073,0,0,2,0,0,0,0,0,0,0,0,0
28466,200131353,016100000527077,6B301ERV,VidFleet,VidFleet,4K,1,98,0,0,0,6.711409568786621,0,0,0,0,0,0,0,0
